,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades
0,Boston Celtics,1960,59,TRUE,0,0,0,1,0,0,0,0,0,3,0,9,0.417,0,0,8971,0.417,0.734,80.2,24.7,0,0,0,124.5,13
1,Golden State Warriors,1960,49,FALSE,1,1,1,0,1,0,0,0,0,2,1,2,0.409,0,0,8678,0.409,0.669,78.9,23.9,0,0,0,118.6,9
2,Philadelphia 76ers,1960,45,FALSE,0,0,0,0,0,0,0,0,0,3,0,2,0.414,0,0,8232,0.414,0.791,72.1,22.3,0,0,0,118.9,5
3,New York Knicks,1960,27,FALSE,0,0,0,0,0,0,0,0,0,3,0,2,0.421,0,0,8153,0.421,0.765,70,22.2,0,0,0,117.3,5
4,Atlanta Hawks,1960,46,FALSE,0,0,0,0,0,0,0,0,0,3,0,7,0.419,0,0,7580,0.419,0.745,71.2,25.1,0,0,0,113.4,10
5,Detroit Pistons,1960,30,FALSE,0,0,0,0,0,0,0,0,0,3,0,0,0.397,0,0,7920,0.397,0.729,73.2,19.6,0,0,0,111.6,3
6,Los Angeles Lakers,1960,25,FALSE,0,0,0,0,0,0,0,0,0,3,1,3,0.386,0,0,7884,0.386,0.73,72.4,19.3,0,0,0,107.3,7
7,Sacramento Kings,1960,19,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.412,0,0,7786,0.412,0.716,70,23.3,0,0,0,111.1,1
8,Boston Celtics,1961,57,TRUE,1,0,0,0,0,0,0,0,0,3,1,7,0.398,0,0,9295,0.398,0.735,77.6,23.7,0,0,0,119.7,12
9,Golden State Warriors,1961,46,FALSE,0,1,1,0,1,0,0,0,0,3,1,3,0.424,0,0,8883,0.424,0.651,75.2,24.8,0,0,0,121,10
10,Philadelphia 76ers,1961,38,FALSE,0,0,0,0,0,0,0,0,0,3,0,2,0.418,0,0,8746,0.418,0.773,72.5,22.6,0,0,0,121.3,5
11,New York Knicks,1961,21,FALSE,0,0,0,0,0,0,0,0,0,2,0,2,0.41,0,0,8347,0.41,0.752,67.3,23.1,0,0,0,113.7,4
12,Atlanta Hawks,1961,51,FALSE,0,0,0,0,0,0,0,0,0,3,0,3,0.411,0,0,8795,0.411,0.735,75.9,27,0,0,0,118.8,6
13,Los Angeles Lakers,1961,36,FALSE,0,0,0,0,0,0,0,0,0,3,2,3,0.403,0,0,8430,0.403,0.735,73.6,21.9,0,0,0,114,8
14,Detroit Pistons,1961,34,FALSE,0,0,0,0,0,0,0,0,0,3,0,3,0.417,0,0,8357,0.417,0.743,73.6,23.6,0,0,0,118.6,6
15,Sacramento Kings,1961,33,FALSE,0,0,0,1,0,0,0,0,0,2,0,2,0.438,0,0,8281,0.438,0.746,70.6,26.7,0,0,0,117.9,5
16,Boston Celtics,1962,60,TRUE,1,0,0,0,0,0,0,0,0,4,1,7,0.423,0,0,9109,0.423,0.728,76,25.6,0,0,0,121.1,13
17,Golden State Warriors,1962,49,FALSE,0,1,1,0,1,0,0,0,0,2,1,3,0.439,0,0,8929,0.439,0.686,74.2,25.9,0,0,0,125.4,9
18,Philadelphia 76ers,1962,41,FALSE,0,0,0,0,0,0,0,0,0,2,0,4,0.418,0,0,8875,0.418,0.78,72.1,22.4,0,0,0,120.7,6
19,New York Knicks,1962,29,FALSE,0,0,0,0,0,0,0,0,0,3,0,0,0.418,0,0,8696,0.418,0.71,68,22.1,0,0,0,114.8,3
20,Los Angeles Lakers,1962,54,FALSE,0,0,0,0,0,0,0,0,0,3,2,3,0.427,0,0,8315,0.427,0.734,70,23.5,0,0,0,118.5,8
21,Sacramento Kings,1962,43,FALSE,0,0,0,1,0,0,0,0,0,3,0,3,0.452,0,0,8414,0.452,0.752,70.8,26.9,0,0,0,123.1,7
22,Detroit Pistons,1962,37,FALSE,0,0,0,0,0,0,0,0,0,2,0,2,0.415,0,0,8366,0.415,0.729,72.8,21.5,0,0,0,115.4,4
23,Atlanta Hawks,1962,29,FALSE,0,0,0,0,0,0,0,0,0,2,0,3,0.43,0,0,8461,0.43,0.757,69.5,25,0,0,0,118.9,5
24,Washington Wizards,1962,18,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0.412,0,0,8405,0.412,0.673,69.3,22.5,0,0,0,110.9,1
25,Boston Celtics,1963,58,TRUE,1,0,0,0,0,0,0,0,0,3,2,6,0.427,0,0,8779,0.427,0.725,72.7,24.5,0,0,0,118.8,12
26,Philadelphia 76ers,1963,48,FALSE,0,0,0,0,0,0,0,0,1,3,0,0,0.445,0,0,8290,0.445,0.782,69,21.8,0,0,0,121.6,4
27,Sacramento Kings,1963,42,FALSE,0,0,0,0,0,0,0,0,0,2,0,5,0.459,0,0,7998,0.459,0.747,69.5,24.1,0,0,0,119.1,7
28,New York Knicks,1963,21,FALSE,0,0,0,0,0,0,0,0,0,3,0,2,0.429,0,0,8007,0.429,0.71,61.9,20.7,0,0,0,110.5,5
29,Los Angeles Lakers,1963,53,FALSE,0,0,0,0,0,0,0,0,0,3,2,6,0.441,0,0,7948,0.441,0.761,66,21.7,0,0,0,115.5,11
30,Atlanta Hawks,1963,48,FALSE,0,0,0,0,0,0,0,0,0,2,1,3,0.431,0,0,7780,0.431,0.729,63.7,23.8,0,0,0,109.6,6
31,Detroit Pistons,1963,34,FALSE,0,0,0,0,0,0,0,0,0,2,1,0,0.432,0,0,8188,0.432,0.717,66.4,21.6,0,0,0,113.9,3
32,Golden State Warriors,1963,31,FALSE,0,1,1,1,1,0,0,0,0,4,1,3,0.45,0,0,8449,0.45,0.669,67,23.8,0,0,0,118.5,12
33,Washington Wizards,1963,25,FALSE,0,0,0,0,0,0,0,0,0,2,0,0,0.453,0,0,7448,0.453,0.697,64.3,22.2,0,0,0,109.9,2
34,Boston Celtics,1964,59,TRUE,0,0,1,0,0,0,0,0,1,3,2,5,0.413,0,0,8770,0.413,0.725,71.7,22,0,0,0,113,12
35,Sacramento Kings,1964,55,FALSE,1,0,0,1,0,0,0,0,0,3,0,3,0.453,0,0,7761,0.453,0.759,67.5,24,0,0,0,114.7,8
36,Philadelphia 76ers,1964,34,FALSE,0,0,0,0,0,0,0,0,0,3,0,2,0.418,0,0,8116,0.418,0.766,64.2,20.5,0,0,0,112.2,5
