,Team,Year,Wins,Champion,MVP,Scoring Leader,Rebound Leader,Assist Leader,WS Leader,DPOY,MIP,6MOY,Coach of Year,All-Stars,All-Defensive,All-NBA,FG%,3P Attempts,3P%,2P Attempts,2P%,FT%,RPG,APG,STL,BLK,TOVPG,PPG,Accolades,Franchise ID
0,Boston Celtics,1960.0,59.0,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.417,0.0,0.0,8971.0,0.417,0.734,80.2,24.7,0.0,0.0,0.0,124.5,13.0,Celtics
1,Golden State Warriors,1960.0,49.0,False,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.409,0.0,0.0,8678.0,0.409,0.669,78.9,23.9,0.0,0.0,0.0,118.6,9.0,Warriors
2,Philadelphia 76ers,1960.0,45.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.414,0.0,0.0,8232.0,0.414,0.791,72.1,22.3,0.0,0.0,0.0,118.9,5.0,76ers
3,New York Knicks,1960.0,27.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.421,0.0,0.0,8153.0,0.421,0.765,70.0,22.2,0.0,0.0,0.0,117.3,5.0,Knicks
4,Atlanta Hawks,1960.0,46.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.419,0.0,0.0,7580.0,0.419,0.745,71.2,25.1,0.0,0.0,0.0,113.4,10.0,Hawks
5,Detroit Pistons,1960.0,30.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.397,0.0,0.0,7920.0,0.397,0.729,73.2,19.6,0.0,0.0,0.0,111.6,3.0,Pistons
6,Los Angeles Lakers,1960.0,25.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.386,0.0,0.0,7884.0,0.386,0.73,72.4,19.3,0.0,0.0,0.0,107.3,7.0,Lakers
7,Sacramento Kings,1960.0,19.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.412,0.0,0.0,7786.0,0.412,0.716,70.0,23.3,0.0,0.0,0.0,111.1,1.0,Kings
8,Boston Celtics,1961.0,57.0,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.0,0.398,0.0,0.0,9295.0,0.398,0.735,77.6,23.7,0.0,0.0,0.0,119.7,12.0,Celtics
9,Golden State Warriors,1961.0,46.0,False,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.424,0.0,0.0,8883.0,0.424,0.651,75.2,24.8,0.0,0.0,0.0,121.0,10.0,Warriors
